Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
2015-05-17 00:00:00,235.78,14172100.0,3341497738.0,6714330.4753,35349.0,0.287199098265896,2.0,708.0,6.4,419738.3697018629,48807487244.68138,1022577.86,12.33378944,4.142730209086756,11.949074061090467,216412.0,85578.0,68982011,77481.0,47167.0,686643.86736129,104689.0,24683670.0
2015-05-18 00:00:00,236.45,14175525.0,3351802886.25,12038644.8632,35405.0,0.4087619489051095,1.0,772.0,7.716666666666668,332393.9690702614,48807487244.68138,813151.5499999998,14.85179661,2.202245337500829,8.304667824133176,197816.0,97915.0,69079926,90495.0,53978.0,827210.09639961,156159.0,36923749.0
2015-05-19 00:00:00,232.04,14178925.0,3290077757.0,10238817.4063,35461.0,0.4153370294117648,0.0,624.0,8.066666666666666,329967.7357193835,48807487244.68138,792416.6,15.46219384,1.6628612927251691,7.440321868867542,207126.0,106503.0,69186429,99347.0,56214.0,1143305.56564081,205369.0,47653800.0
2015-05-20 00:00:00,234.6,14182475.0,3327208635.0,11455800.4768,35520.0,0.42019341549295774,0.0,732.0,7.916666666666668,344525.1358246505,48807487244.68138,836349.0,15.67924364,1.863463724717344,7.7667691279031965,221491.0,107683.0,69294112,101313.0,59881.0,1191754.86005537,191310.0,44881421.0
2015-05-21 00:00:00,236.0,14186300.0,3347966800.0,10692103.192,35571.0,0.3392528758169935,4.0,792.0,7.65,371213.7026843065,48807487244.68138,906004.0,14.46308563,2.1328789574512674,9.063484123967108,203159.0,99962.0,69394074,95717.0,56252.0,957204.68142049,179991.0,42477985.0
2015-05-22 00:00:00,240.5,14189850.0,3412658925.0,18975695.686,35627.0,0.3944427464788733,0.0,748.0,8.083333333333334,344525.1358246505,48807487244.68138,857382.5,15.32116469,1.617591394745297,8.523451402212922,207671.0,100591.0,69494665,94416.0,55226.0,1165755.11740062,220389.0,53003651.0
2015-05-23 00:00:00,238.77,14192850.0,3388826794.5,8685815.1228,35676.0,0.4104737,1.0,831.0,9.3,291148.00210533844,48807487244.68138,719414.01,13.47221894,1.5855100262567348,7.762846213608996,194783.0,92674.0,69587339,83932.0,49828.0,1144605.36822937,190033.0,45374296.0
2015-05-24 00:00:00,240.46,14196375.0,3413660332.5,7938776.9118,35732.0,0.4031306382978723,2.0,784.0,8.0,342098.9024737727,48807487244.68138,850507.02,12.74716388,3.3544217322793264,9.665291831446883,246182.0,87996.0,69675335,81001.0,45108.0,702062.28047119,105443.0,25354803.0
2015-05-25 00:00:00,235.65,14199975.0,3346224108.75,8804512.2744,35791.0,0.41578395138888896,0.0,1071.0,7.933333333333334,349377.6025264061,48807487244.68138,851874.75,15.48928101,2.3456642059355888,8.073188240980297,206424.0,105519.0,69780854,96824.0,52380.0,886365.20967179,154114.0,36316995.0
2015-05-26 00:00:00,235.94,14203350.0,3351138399.0,10633177.152,35850.0,0.4388431629629629,0.0,653.0,8.95,327541.5023685057,48807487244.68138,800308.48,17.74572734,1.9523850023642488,7.481546213459723,222322.0,106971.0,69887825,100829.0,55336.0,1039896.70267123,173736.0,40991325.0
2015-05-27 00:00:00,235.0,14206975.0,3338639125.0,12744914.9373,35911.0,0.4256919793103448,1.0,853.0,7.833333333333332,351803.83587728394,48807487244.68138,855635.0,16.09865543,1.7738443013964285,7.881823541332745,221553.0,108558.0,69996383,102986.0,59123.0,1119412.00003608,205260.0,48236195.0
2015-05-28 00:00:00,236.48,14210275.0,3360445832.0,8918667.436,35970.0,0.4474625833333333,0.0,914.0,7.716666666666668,320262.80231587234,48807487244.68138,784167.6799999998,16.12750693,1.721412163133499,7.142692875229992,220123.0,109786.0,70106169,104001.0,58807.0,1049285.99305219,192633.0,45553743.0
2015-05-29 00:00:00,235.87,14214200.0,3352703354.0,9506643.1936,36035.0,0.4167872101910828,2.0,883.0,7.616666666666666,380918.63608781784,48807487244.68138,929799.54,17.52633345,1.8366109639364347,7.550260986780135,237083.0,123148.0,70229317,112775.0,66899.0,1125299.61817185,214634.0,50625830.0
2015-05-30 00:00:00,231.12,14217300.0,3285902376.0,10592100.4644,36102.0,0.5430343306451613,1.0,872.0,9.316666666666666,300852.9355088497,48807487244.68138,720632.16,18.13414229,1.6994401097672844,5.42207829534938,269743.0,132907.0,70362224,125827.0,60937.0,928260.47829608,183472.0,42404093.0
2015-05-31 00:00:00,231.95,14220975.0,3298555151.25,7951003.767000001,36154.0,0.35976223129251705,1.0,772.0,7.5,356656.3025790396,48807487244.68138,855431.6,13.638817000000001,2.4342155319258563,8.907312806522484,238007.0,96037.0,70458261,90007.0,55429.0,782197.70791103,151507.0,35141983.0
2015-06-01 00:00:00,222.4,14224400.0,3163506560.0,21727639.7849,36219.0,0.4771302773722628,1.0,633.0,8.483333333333333,332393.9690702614,48807487244.68138,771728.0,45.24728362,1.4275050413949395,6.598278029052915,252174.0,116959.0,70575220,109364.0,61607.0,1473819.95234975,243081.0,54061315.0
2015-06-02 00:00:00,224.83,14228050.0,3198892481.5,16193587.746699998,36290.0,0.4904789315068493,2.0,529.0,7.85,345390.9455403383,47589591153.625015,824901.27,19.09865642,1.4080738292562769,6.179544906321869,257275.0,133489.0,70708709,126303.0,71038.0,1517326.80905538,260569.0,58583666.0
2015-06-03 00:00:00,226.29,14231600.0,3220468764.0,12997730.1124,36356.0,0.4701174507042253,2.0,666.0,8.433333333333334,335928.17990909604,47589591153.625015,807176.4299999998,17.86202728,1.5721290364003695,6.436864967025255,239702.0,125399.0,70834108,114926.0,63401.0,1325341.04413882,226890.0,51342887.0
2015-06-04 00:00:00,225.54,14235150.0,3210595731.0,11314954.476,36420.0,0.45711017605633797,2.0,713.0,9.05,335928.17990909604,47589591153.625015,804501.1799999998,17.47387221,1.722481124632804,6.493516017854115,240222.0,123893.0,70958001,117311.0,62608.0,1277219.0578859,207085.0,46705950.0
2015-06-05 00:00:00,224.15,14238700.0,3191604605.0,13798456.3002,36478.0,0.4141495845070423,1.0,842.0,8.4,335928.17990909604,47589591153.625015,799318.9,16.17225384,1.5640279299395776,7.286407474931632,232715.0,109700.0,71067701,103094.0,58637.0,1443588.41218435,228001.0,51106434.0
2015-06-06 00:00:00,224.49,14242725.0,3197349335.25,7805688.455499998,36533.0,0.34436270186335405,1.0,807.0,8.066666666666666,380876.3166574964,47589591153.625015,906939.6,15.255516199999999,2.463326011436528,8.891128866232046,244636.0,102005.0,71169706,93425.0,52871.0,1086475.72481476,164006.0,36817685.0
2015-06-07 00:00:00,222.6,14246900.0,3171359940.0,9622738.2376,36587.0,0.3279989640718563,0.0,919.0,7.5,395070.46510435955,47589591153.625015,932248.8,13.64505466,2.7916278285646903,10.541031207598369,225189.0,88440.0,71258146,84280.0,44139.0,1064474.91631962,150020.0,33394451.0
2015-06-08 00:00:00,228.0,14250425.0,3249096900.0,17459770.9848,36637.0,0.35624245390070924,1.0,714.0,8.216666666666667,333562.4885012856,47589591153.625015,807120.0,15.28474251,1.7222624581592931,8.583004562034093,188952.0,94037.0,71352183,91751.0,52327.0,1001943.98781491,205544.0,46863937.0
2015-06-09 00:00:00,230.1,14254475.0,3279954697.5,13936685.8451,36696.0,0.3687518703703704,1.0,693.0,6.7,383242.0080653068,47589591153.625015,935586.6,16.68496332,1.7648004918464633,8.09099997405585,208925.0,115633.0,71467816,111830.0,64541.0,1244998.71711074,230394.0,53013732.0
2015-06-10 00:00:00,228.01,14258425.0,3251063484.25,9976455.153,36779.0,0.5283374240506329,0.0,815.0,7.7,373779.2424340646,47589591153.625015,905199.7,20.21619753,1.7498774094714544,6.8027392833523725,267864.0,133064.0,71600880,123557.0,70295.0,1303509.8023257,226873.0,51729321.0
2015-06-11 00:00:00,229.0,14262300.0,3266066700.0,9990294.5576,36845.0,0.4303856709677419,1.0,1008.0,7.316666666666666,366682.168210633,47589591153.625015,891497.0,18.23746303,1.56363872015677,7.123598647989963,258189.0,125147.0,71726027,116693.0,66198.0,1392935.77553564,248971.0,57014257.0
